source,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_qiskit.py,81,loss_func,200,0.0226441,145.90930060000002,solution_clean_qiskit,1
solution_clean_qiskit.py,81,loss_func,200,0.021914600000000003,145.5164325,solution_clean_qiskit,3
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2615613,132.9502898,solution_clean_qiskit,4
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2670924,131.65931210000002,solution_clean_qiskit,5
solution_clean_qiskit.py,81,loss_func,200,0.0218745,131.53593360000002,solution_clean_qiskit,4
solution_clean_qiskit.py,81,loss_func,200,0.0210785,130.4381995,solution_clean_qiskit,5
solution_clean_qiskit.py,110,loss_only,100,0.0002476,110.27494010000001,solution_clean_qiskit,2
solution_clean_qiskit.py,47,ansatz,12928,4.2817867000000005,91.1628362,solution_clean_qiskit,2
solution_clean_qiskit.py,110,loss_only,100,0.00021590000000000002,72.5052105,solution_clean_qiskit,1
solution_clean_qiskit.py,110,loss_only,100,0.00019800000000000002,70.9252652,solution_clean_qiskit,3
solution_clean_qiskit.py,47,ansatz,12928,2.5820762000000004,64.39960450000001,solution_clean_qiskit,3
solution_clean_qiskit.py,110,loss_only,100,0.00017230000000000001,63.32764220000001,solution_clean_qiskit,4
solution_clean_qiskit.py,47,ansatz,12928,2.5324136000000004,63.28350210000001,solution_clean_qiskit,1
solution_clean_qiskit.py,110,loss_only,100,0.0001853,63.158782300000006,solution_clean_qiskit,5
solution_clean_qiskit.py,47,ansatz,12928,2.2792921,58.477895700000005,solution_clean_qiskit,4
solution_clean_qiskit.py,47,ansatz,12928,2.3382422000000003,57.8482083,solution_clean_qiskit,5
solution_clean_pennylane.py,11,__init__,1,4.6700000000000003e-05,10.328128300000001,solution_clean_pennylane,2
solution_clean_pennylane.py,11,__init__,1,4.8700000000000005e-05,9.7584538,solution_clean_pennylane,3
solution_clean_pennylane.py,11,__init__,1,3.33e-05,8.228674100000001,solution_clean_pennylane,4
solution_clean_pennylane.py,11,__init__,1,3.0200000000000002e-05,7.781777900000001,solution_clean_pennylane,1
solution_clean_pennylane.py,11,__init__,1,3.18e-05,7.5866685,solution_clean_pennylane,5
solution_clean_qiskit.py,14,__init__,1,4.5600000000000004e-05,0.8639284,solution_clean_qiskit,4
solution_clean_qiskit.py,195,loss_plot,1,3.2800000000000004e-05,0.8126361000000001,solution_clean_qiskit,2
solution_clean_qiskit.py,14,__init__,1,5.3e-05,0.6439479,solution_clean_qiskit,5
solution_clean_qiskit.py,14,__init__,1,6.09e-05,0.6048991,solution_clean_qiskit,3
solution_clean_qiskit.py,14,__init__,1,5.16e-05,0.5540365,solution_clean_qiskit,2
solution_clean_qiskit.py,14,__init__,1,6.110000000000001e-05,0.5365813,solution_clean_qiskit,1
solution_clean_pennylane.py,132,loss_plot,1,1.4900000000000001e-05,0.4856362,solution_clean_pennylane,3
solution_clean_pennylane.py,132,loss_plot,1,1.9600000000000002e-05,0.47253160000000005,solution_clean_pennylane,2
solution_clean_qiskit.py,195,loss_plot,1,2.25e-05,0.4299928,solution_clean_qiskit,3
solution_clean_qiskit.py,195,loss_plot,1,2.5200000000000003e-05,0.4222168,solution_clean_qiskit,4
solution_clean_pennylane.py,171,save_plot,3,1.52e-05,0.3953053,solution_clean_pennylane,5
solution_clean_qiskit.py,195,loss_plot,1,2.0600000000000003e-05,0.3931991,solution_clean_qiskit,5
solution_clean_pennylane.py,132,loss_plot,1,2.0300000000000002e-05,0.38884480000000005,solution_clean_pennylane,1
solution_clean_qiskit.py,195,loss_plot,1,3.08e-05,0.3698233,solution_clean_qiskit,1
solution_clean_pennylane.py,132,loss_plot,1,1.79e-05,0.3552869,solution_clean_pennylane,5
solution_clean_pennylane.py,132,loss_plot,1,1.86e-05,0.35099850000000005,solution_clean_pennylane,4
solution_clean_pennylane.py,171,save_plot,3,1.48e-05,0.3476655,solution_clean_pennylane,2
solution_clean_pennylane.py,171,save_plot,3,1.4900000000000001e-05,0.3289086,solution_clean_pennylane,1
solution_clean_pennylane.py,171,save_plot,3,1.5700000000000002e-05,0.3126179,solution_clean_pennylane,4
solution_clean_pennylane.py,171,save_plot,3,1.09e-05,0.30038400000000004,solution_clean_pennylane,3
solution_clean_qiskit.py,231,plot_matrix_as_image,1,3.21e-05,0.30031270000000004,solution_clean_qiskit,2
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,3.68e-05,0.264778,solution_clean_qiskit,2
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.6100000000000002e-05,0.20207650000000002,solution_clean_pennylane,5
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.56e-05,0.18637130000000002,solution_clean_qiskit,5
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.84e-05,0.18032140000000002,solution_clean_qiskit,3
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.72e-05,0.1729183,solution_clean_qiskit,4
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.1400000000000001e-05,0.14508870000000001,solution_clean_pennylane,4
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,3.04e-05,0.1446987,solution_clean_pennylane,2
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1e-05,0.1391853,solution_clean_pennylane,2
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.5300000000000003e-05,0.139165,solution_clean_pennylane,1
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,2.5200000000000003e-05,0.13893650000000002,solution_clean_pennylane,1
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.87e-05,0.13728890000000002,solution_clean_qiskit,5
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.08e-05,0.13621450000000002,solution_clean_pennylane,3
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.56e-05,0.1338936,solution_clean_pennylane,5
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.4200000000000001e-05,0.1337855,solution_clean_qiskit,4
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.69e-05,0.1308282,solution_clean_qiskit,1
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,3.27e-05,0.1294747,solution_clean_pennylane,4
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.77e-05,0.1228351,solution_clean_pennylane,3
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.66e-05,0.10571900000000001,solution_clean_qiskit,3
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,2.19e-05,0.10523550000000001,solution_clean_qiskit,1
solution_clean_pennylane.py,180,from_image,1,4.07e-05,0.031435700000000004,solution_clean_pennylane,3
solution_clean_qiskit.py,252,from_image,1,1.94e-05,0.0214638,solution_clean_qiskit,4
solution_clean_qiskit.py,123,<genexpr>,2000,0.0018278,0.0145549,solution_clean_qiskit,2
solution_clean_pennylane.py,39,<listcomp>,12928,0.014084200000000002,0.014084200000000002,solution_clean_pennylane,3
solution_clean_pennylane.py,39,<listcomp>,12928,0.0138718,0.0138718,solution_clean_pennylane,2
solution_clean_pennylane.py,39,<listcomp>,12928,0.0111594,0.0111594,solution_clean_pennylane,5
solution_clean_qiskit.py,123,<genexpr>,2000,0.0014391,0.0106134,solution_clean_qiskit,3
solution_clean_qiskit.py,123,<genexpr>,2000,0.0014248000000000002,0.0104347,solution_clean_qiskit,1
solution_clean_pennylane.py,39,<listcomp>,12928,0.010390700000000001,0.010390700000000001,solution_clean_pennylane,1
solution_clean_pennylane.py,39,<listcomp>,12928,0.0103855,0.0103855,solution_clean_pennylane,4
solution_clean_qiskit.py,123,<genexpr>,2000,0.0012129,0.0094769,solution_clean_qiskit,5
solution_clean_qiskit.py,123,<genexpr>,2000,0.0012898,0.009425000000000001,solution_clean_qiskit,4
solution_clean_qiskit.py,93,<listcomp>,200,0.0017361000000000002,0.005667800000000001,solution_clean_qiskit,2
solution_clean_pennylane.py,180,from_image,1,4.71e-05,0.0047983,solution_clean_pennylane,2
solution_clean_qiskit.py,252,from_image,1,1.91e-05,0.0046401,solution_clean_qiskit,2
solution_clean_qiskit.py,252,from_image,1,1.84e-05,0.0046273,solution_clean_qiskit,3
solution_clean_pennylane.py,180,from_image,1,4.1400000000000003e-05,0.0045867,solution_clean_pennylane,5
solution_clean_qiskit.py,93,<listcomp>,200,0.0014316,0.004520000000000001,solution_clean_qiskit,1
solution_clean_qiskit.py,252,from_image,1,1.8500000000000002e-05,0.0044211,solution_clean_qiskit,1
solution_clean_qiskit.py,93,<listcomp>,200,0.0013412,0.004256800000000001,solution_clean_qiskit,3
solution_clean_pennylane.py,180,from_image,1,3.65e-05,0.0042072,solution_clean_pennylane,4
solution_clean_qiskit.py,93,<listcomp>,200,0.0013093,0.0041275,solution_clean_qiskit,5
solution_clean_pennylane.py,180,from_image,1,3.72e-05,0.0040976,solution_clean_pennylane,1
solution_clean_qiskit.py,252,from_image,1,1.69e-05,0.0040929,solution_clean_qiskit,5
solution_clean_qiskit.py,93,<listcomp>,200,0.0013172000000000001,0.004061,solution_clean_qiskit,4
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.0002877,0.0032337000000000004,solution_clean_pennylane,2
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.0007421000000000001,0.0031744000000000004,solution_clean_qiskit,2
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.00018910000000000002,0.0022982000000000002,solution_clean_pennylane,1
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.0001232,0.0015748000000000001,solution_clean_pennylane,5
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.00014140000000000002,0.0015643,solution_clean_pennylane,3
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.00011300000000000001,0.0014552,solution_clean_pennylane,4
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.00018800000000000002,0.0008860000000000001,solution_clean_qiskit,3
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.00018570000000000001,0.0008522,solution_clean_qiskit,5
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.0001745,0.0008171000000000001,solution_clean_qiskit,1
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.00018380000000000002,0.0008087000000000001,solution_clean_qiskit,4
solution_clean_qiskit.py,188,__init__,1,4.1000000000000006e-06,0.0005744000000000001,solution_clean_qiskit,2
solution_clean_qiskit.py,188,__init__,1,5.4e-06,0.0004424,solution_clean_qiskit,1
solution_clean_qiskit.py,188,__init__,1,3.9e-06,0.0003083,solution_clean_qiskit,3
solution_clean_qiskit.py,188,__init__,1,3.3e-06,0.0002861,solution_clean_qiskit,4
solution_clean_qiskit.py,188,__init__,1,2.9e-06,0.0002854,solution_clean_qiskit,5
solution_clean_qiskit.py,261,generate_random_matrix,1,4.91e-05,0.00026010000000000003,solution_clean_qiskit,2
solution_clean_pennylane.py,190,random_matrix,1,5.4600000000000006e-05,0.0002153,solution_clean_pennylane,1
solution_clean_pennylane.py,190,random_matrix,1,4.18e-05,0.0002078,solution_clean_pennylane,2
solution_clean_pennylane.py,190,random_matrix,1,6.37e-05,0.0001967,solution_clean_pennylane,3
solution_clean_qiskit.py,261,generate_random_matrix,1,2.22e-05,0.00018140000000000002,solution_clean_qiskit,4
solution_clean_pennylane.py,190,random_matrix,1,5.9900000000000006e-05,0.0001774,solution_clean_pennylane,4
solution_clean_pennylane.py,190,random_matrix,1,2.33e-05,0.0001071,solution_clean_pennylane,5
solution_clean_qiskit.py,261,generate_random_matrix,1,2.39e-05,9.98e-05,solution_clean_qiskit,3
solution_clean_qiskit.py,261,generate_random_matrix,1,1.83e-05,9.180000000000001e-05,solution_clean_qiskit,1
solution_clean_qiskit.py,261,generate_random_matrix,1,1.73e-05,8.54e-05,solution_clean_qiskit,5
solution_clean_qiskit.py,13,VQSVD,1,2.9500000000000002e-05,2.9500000000000002e-05,solution_clean_qiskit,4
solution_clean_pennylane.py,34,<listcomp>,1,1.1000000000000001e-05,1.69e-05,solution_clean_pennylane,3
solution_clean_pennylane.py,34,<listcomp>,1,4.9000000000000005e-06,7.7e-06,solution_clean_pennylane,4
solution_clean_qiskit.py,187,LossPlot,1,7.7e-06,7.7e-06,solution_clean_qiskit,4
solution_clean_pennylane.py,34,<listcomp>,1,4.4e-06,7.000000000000001e-06,solution_clean_pennylane,5
solution_clean_pennylane.py,34,<listcomp>,1,4.2000000000000004e-06,6.4000000000000006e-06,solution_clean_pennylane,1
solution_clean_pennylane.py,34,<listcomp>,1,4.1000000000000006e-06,6.200000000000001e-06,solution_clean_pennylane,2
solution_clean_qiskit.py,13,VQSVD,1,5.1e-06,5.1e-06,solution_clean_qiskit,2
solution_clean_qiskit.py,13,VQSVD,1,4.7e-06,4.7e-06,solution_clean_qiskit,3
solution_clean_qiskit.py,13,VQSVD,1,4.7e-06,4.7e-06,solution_clean_qiskit,1
solution_clean_qiskit.py,13,VQSVD,1,4.4e-06,4.4e-06,solution_clean_qiskit,5
solution_clean_pennylane.py,10,VQSVD,1,3.4e-06,3.4e-06,solution_clean_pennylane,4
solution_clean_pennylane.py,10,VQSVD,1,3.3e-06,3.3e-06,solution_clean_pennylane,5
solution_clean_pennylane.py,10,VQSVD,1,2.9e-06,2.9e-06,solution_clean_pennylane,3
solution_clean_pennylane.py,10,VQSVD,1,2.6e-06,2.6e-06,solution_clean_pennylane,1
