file,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_qiskit.py,1,<module>,1,7.69e-05,7016.6813044,solution_clean_qiskit,3
solution_clean_qiskit.py,98,train,1,0.0093872,7014.2780545000005,solution_clean_qiskit,3
solution_clean_qiskit.py,1,<module>,1,8.33e-05,6982.876588800001,solution_clean_qiskit,2
solution_clean_qiskit.py,1,<module>,1,7.41e-05,6980.7679876,solution_clean_qiskit,1
solution_clean_qiskit.py,98,train,1,0.008948300000000001,6980.1650471,solution_clean_qiskit,2
solution_clean_qiskit.py,98,train,1,0.0093845,6977.488548,solution_clean_qiskit,1
solution_clean_qiskit.py,1,<module>,1,0.0001004,6972.0931269,solution_clean_qiskit,4
solution_clean_qiskit.py,98,train,1,0.0090317,6969.4766006,solution_clean_qiskit,4
solution_clean_qiskit.py,1,<module>,1,8.740000000000001e-05,6950.9210203,solution_clean_qiskit,5
solution_clean_qiskit.py,98,train,1,0.0095096,6945.1100341,solution_clean_qiskit,5
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013643000000000001,6909.4894622,solution_clean_qiskit,3
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0014806,6873.6436715,solution_clean_qiskit,2
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0021409000000000003,6872.058479400001,solution_clean_qiskit,1
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.001348,6867.2936359000005,solution_clean_qiskit,4
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013762000000000002,6844.955105200001,solution_clean_qiskit,5
solution_clean_pennylane.py,1,<module>,1,0.0001129,3434.6768214000003,solution_clean_pennylane,1
solution_clean_pennylane.py,87,train,1,0.0016898000000000002,3422.8185918000004,solution_clean_pennylane,1
solution_clean_pennylane.py,1,<module>,1,0.0001329,3162.4014337000003,solution_clean_pennylane,5
solution_clean_pennylane.py,87,train,1,0.0022760000000000002,3153.0480988000004,solution_clean_pennylane,5
solution_clean_pennylane.py,1,<module>,1,7.43e-05,3049.6618304000003,solution_clean_pennylane,3
solution_clean_pennylane.py,87,train,1,0.0015385000000000002,3040.3594351,solution_clean_pennylane,3
solution_clean_pennylane.py,1,<module>,1,0.0001077,3009.5316018000003,solution_clean_pennylane,2
solution_clean_pennylane.py,87,train,1,0.0016217,3000.4529981,solution_clean_pennylane,2
solution_clean_pennylane.py,1,<module>,1,6.35e-05,2999.0251115,solution_clean_pennylane,4
solution_clean_pennylane.py,87,train,1,0.0014778,2990.0173798,solution_clean_pennylane,4
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0481827,2772.8814309000004,solution_clean_pennylane,1
solution_clean_pennylane.py,71,loss_func,200,0.013091400000000001,2755.0502848,solution_clean_pennylane,1
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.040540400000000004,2555.2852824,solution_clean_pennylane,5
solution_clean_pennylane.py,71,loss_func,200,0.0120671,2538.5812633,solution_clean_pennylane,5
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.041167100000000005,2460.7213963000004,solution_clean_pennylane,3
solution_clean_pennylane.py,71,loss_func,200,0.0118931,2445.7534807,solution_clean_pennylane,3
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0453247,2429.3962993,solution_clean_pennylane,2
