source,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.09860105300000001,66.72069792100001,solution_clean_qiskit,2
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.099931135,66.641129709,solution_clean_qiskit,3
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.09997660500000001,66.377109196,solution_clean_qiskit,5
solution_clean_qiskit.py,81,loss_func,200,0.012990001000000001,66.350551334,solution_clean_qiskit,4
solution_clean_qiskit.py,81,loss_func,200,0.012855671,66.094258963,solution_clean_qiskit,2
solution_clean_qiskit.py,81,loss_func,200,0.012893711,66.01020008500001,solution_clean_qiskit,3
solution_clean_qiskit.py,81,loss_func,200,0.012777289,65.753688948,solution_clean_qiskit,5
solution_clean_qiskit.py,110,loss_only,100,8.675600000000001e-05,32.579483209,solution_clean_qiskit,4
solution_clean_qiskit.py,110,loss_only,100,9.008900000000001e-05,32.291486504000005,solution_clean_qiskit,5
solution_clean_qiskit.py,110,loss_only,100,8.7996e-05,32.247799786,solution_clean_qiskit,3
solution_clean_qiskit.py,110,loss_only,100,7.982900000000001e-05,32.235662035000004,solution_clean_qiskit,1
solution_clean_qiskit.py,110,loss_only,100,8.440800000000001e-05,32.101381077,solution_clean_qiskit,2
solution_clean_qiskit.py,47,ansatz,12928,1.040891987,23.998261053,solution_clean_qiskit,1
solution_clean_qiskit.py,47,ansatz,12928,1.051955389,23.654121891000003,solution_clean_qiskit,2
solution_clean_qiskit.py,47,ansatz,12928,1.023194893,23.643138731,solution_clean_qiskit,3
solution_clean_qiskit.py,47,ansatz,12928,1.006718849,23.489954895,solution_clean_qiskit,4
solution_clean_qiskit.py,47,ansatz,12928,1.0146383540000001,23.481556478,solution_clean_qiskit,5
solution_clean_pennylane.py,11,__init__,1,2.4958e-05,4.479302958,solution_clean_pennylane,2
solution_clean_pennylane.py,11,__init__,1,2.3249e-05,4.475481,solution_clean_pennylane,1
solution_clean_pennylane.py,11,__init__,1,2.5333000000000003e-05,4.466812166,solution_clean_pennylane,4
solution_clean_pennylane.py,11,__init__,1,2.5920000000000003e-05,4.4655541670000005,solution_clean_pennylane,3
solution_clean_pennylane.py,11,__init__,1,2.3332000000000003e-05,4.460525083,solution_clean_pennylane,5
solution_clean_pennylane.py,171,save_plot,3,8.083e-06,0.7252879990000001,solution_clean_pennylane,1
solution_clean_pennylane.py,171,save_plot,3,7.625000000000001e-06,0.7227437080000001,solution_clean_pennylane,5
solution_clean_pennylane.py,171,save_plot,3,7.585e-06,0.718060708,solution_clean_pennylane,3
solution_clean_pennylane.py,171,save_plot,3,8.792e-06,0.7137155000000001,solution_clean_pennylane,2
solution_clean_pennylane.py,171,save_plot,3,8.252e-06,0.71081696,solution_clean_pennylane,4
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.0998e-05,0.6270833330000001,solution_clean_pennylane,1
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.5042000000000001e-05,0.6253379170000001,solution_clean_pennylane,5
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.0457e-05,0.6200171250000001,solution_clean_pennylane,3
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.1331e-05,0.615005125,solution_clean_pennylane,2
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.0625e-05,0.6134919160000001,solution_clean_pennylane,4
solution_clean_qiskit.py,14,__init__,1,4.6459000000000004e-05,0.36302683300000005,solution_clean_qiskit,1
solution_clean_qiskit.py,14,__init__,1,3.7792e-05,0.32690845900000004,solution_clean_qiskit,3
solution_clean_qiskit.py,14,__init__,1,2.7709000000000002e-05,0.318471459,solution_clean_qiskit,2
solution_clean_qiskit.py,14,__init__,1,2.8459000000000003e-05,0.31653545800000005,solution_clean_qiskit,4
solution_clean_qiskit.py,14,__init__,1,2.7919e-05,0.316157458,solution_clean_qiskit,5
solution_clean_qiskit.py,195,loss_plot,1,2.6918000000000002e-05,0.29618441700000003,solution_clean_qiskit,1
solution_clean_qiskit.py,195,loss_plot,1,4.1333000000000006e-05,0.292461958,solution_clean_qiskit,5
solution_clean_qiskit.py,195,loss_plot,1,4.3543e-05,0.28396316600000004,solution_clean_qiskit,3
solution_clean_qiskit.py,195,loss_plot,1,2.9461e-05,0.283549667,solution_clean_qiskit,2
solution_clean_qiskit.py,195,loss_plot,1,1.4833e-05,0.283518875,solution_clean_qiskit,4
solution_clean_pennylane.py,132,loss_plot,1,1.1627e-05,0.24701304200000002,solution_clean_pennylane,2
solution_clean_pennylane.py,132,loss_plot,1,1.1624000000000001e-05,0.246966291,solution_clean_pennylane,4
solution_clean_pennylane.py,132,loss_plot,1,1.4542e-05,0.24641795900000002,solution_clean_pennylane,3
solution_clean_pennylane.py,132,loss_plot,1,1.1627e-05,0.246150042,solution_clean_pennylane,5
solution_clean_pennylane.py,132,loss_plot,1,1.2832e-05,0.24363404200000002,solution_clean_pennylane,1
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.6709000000000002e-05,0.107840583,solution_clean_qiskit,4
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.8415000000000002e-05,0.10229766700000001,solution_clean_qiskit,3
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.3085000000000001e-05,0.10070195900000001,solution_clean_qiskit,2
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.2207e-05,0.09744195800000001,solution_clean_qiskit,1
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.3749000000000002e-05,0.08842175000000001,solution_clean_qiskit,5
